Gene	1_SS_1	1_SS_2	1_SS_3	1_SS_4	1_SS_5	1_SS_6	1_SS_7	1_SS_8	1_SS_9	1_SS_10	1_SS_11	1_SS_12	1_SS_13	1_SS_14	1_SS_15	1_SS_16	1_SS_17	1_SS_18	1_SS_19	1_SS_20	1_SS_21	1_SS_22	1_SS_23	1_SS_24
A1BG	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	3.12	48.45	0.00	0.00	0.00	38.16	27.32	0.00	0.00	0.00	0.00
A1BG-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A1CF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.42	0.00	0.00	0.00	0.00	0.00	0.00
A2M	20.77	9.49	0.00	0.00	0.00	37.91	7.42	53.37	3.44	0.00	0.00	244.02	0.00	0.00	22.36	6.43	1.76	25.62	0.00	0.00	79.23	0.00	0.00	3.38
A2M-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A2ML1	141.23	1.19	0.00	0.00	0.00	0.00	7.42	19.41	3.44	9.69	3.74	0.00	7.64	18.72	7.45	0.00	1.76	0.00	0.00	1.44	32.41	2.44	15.32	1.13
A2MP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	88.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	1.76	0.00	0.00	0.00	0.00	0.00	1.33	0.00
A4GALT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00
A4GNT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AA06	4.15	42.10	0.00	0.00	0.00	3.45	7.42	9.70	10.33	3.23	0.75	0.00	0.00	0.00	3.73	83.55	0.00	0.00	0.00	2.88	0.00	24.44	25.32	0.00
AAAS	4.15	42.69	70.66	0.00	0.00	41.35	22.26	14.56	13.77	32.29	35.89	0.00	0.00	49.93	14.91	6.43	1.76	115.28	54.51	77.64	18.01	36.67	24.65	9.02
AACS	16.62	59.88	22.48	0.00	0.00	6.89	89.05	4.85	110.15	58.13	56.82	44.37	7.64	12.48	26.09	205.67	87.97	12.81	87.22	7.19	0.00	34.22	65.95	76.69
AACSP1	4.15	1.19	12.85	0.00	0.00	3.45	0.00	4.85	6.88	35.52	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.63	0.00	12.22	0.67	4.51
AADAC	0.00	0.59	0.00	0.00	0.00	24.12	7.42	0.00	0.00	0.00	1.50	0.00	0.00	0.00	18.63	0.00	0.00	89.66	0.00	0.00	0.00	0.00	0.00	9.02
AADACL2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	76.40	0.00	0.00	0.00	7.04	0.00	38.16	0.00	0.00	12.22	25.32	4.51
AADACL2-AS1	0.00	0.00	12.85	0.00	0.00	0.00	7.42	0.00	0.00	19.38	0.00	0.00	0.00	0.00	0.00	19.28	0.00	0.00	5.45	0.00	0.00	0.00	0.67	16.92
AADACL3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.64
AADACL4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.02	0.00	1.44	0.00	0.00	9.33	0.00
AADACP1	0.00	1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.67	22.18	0.00	0.00	0.00	0.00	3.52	0.00	0.00	1.44	0.00	0.00	1.33	5.64
AADAT	0.00	7.71	0.00	0.00	109.43	0.00	0.00	9.70	0.00	9.69	0.75	0.00	76.40	0.00	70.81	6.43	0.00	0.00	0.00	0.00	21.61	2.44	0.67	3.38
AAED1	54.00	14.82	105.99	120.02	0.00	20.68	37.10	4.85	3.44	38.75	11.21	0.00	0.00	0.00	37.27	0.00	40.47	0.00	16.35	79.08	39.62	31.78	13.32	0.00
AAGAB	4.15	16.01	22.48	0.00	72.95	10.34	7.42	0.00	6.88	0.00	14.21	177.47	7.64	0.00	0.00	0.00	10.56	44.83	21.80	10.06	0.00	7.33	16.65	13.53
AAK1	33.23	2.96	0.00	0.00	9.12	3.45	7.42	150.42	3.44	3.23	21.68	0.00	0.00	0.00	3.73	0.00	0.00	278.60	38.16	63.26	10.80	24.44	7.33	41.73
AAMDC	0.00	171.35	86.72	0.00	9.12	144.73	59.36	72.78	34.42	19.38	159.99	22.18	129.88	299.55	44.72	347.07	36.95	9.61	10.90	150.96	72.03	61.11	81.94	102.63
AAMP	29.08	13.04	118.83	0.00	9.12	93.04	0.00	131.01	6.88	38.75	4.49	44.37	198.64	9.36	7.45	19.28	72.13	35.22	38.16	119.33	154.86	14.67	4.00	13.53
AANAT	0.00	13.64	0.00	0.00	0.00	3.45	7.42	0.00	55.08	3.23	23.92	0.00	0.00	3.12	14.91	0.00	1.76	131.29	0.00	2.88	36.01	7.33	4.00	15.79
AAR2	24.92	5.34	35.33	0.00	0.00	10.34	14.84	58.23	10.33	9.69	3.74	0.00	0.00	6.24	26.09	12.85	22.87	262.58	49.06	195.53	7.20	17.11	56.63	34.96
AARD	465.24	71.74	391.83	0.00	18.24	733.99	89.05	591.97	6.88	184.08	56.07	0.00	7.64	18.72	350.33	6.43	545.41	188.93	201.69	90.58	277.31	22.00	157.22	289.83
