Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
A1BG	5.33	103.46	0.00	0.00	1.26	0.00	648.51	0.00	3.86	0.00	0.00	0.00	36.66	0.00	0.00	0.00	129.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A1BG-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A1CF	0.00	0.00	0.00	20.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A2M	37.31	29.56	50.55	100.29	3.78	0.00	0.00	0.00	23.19	63.34	24.90	197.98	21.22	70.59	0.00	99.16	38.65	56.23	128.46	72.67	0.00	0.00	4.46	77.77
A2M-AS1	0.00	0.00	0.00	0.00	10.09	0.00	0.00	0.00	3.86	1.98	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	89.29	6.86
A2ML1	21.32	0.00	5.83	20.06	30.27	0.00	0.00	0.00	34.78	53.44	51.04	11.48	25.08	114.71	0.00	0.00	55.22	17.76	5.59	0.00	0.00	0.00	375.04	4.57
A2MP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A4GALT	37.31	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	3.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.27	0.00	0.00	0.00	0.00
A4GNT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AA06	0.00	4.93	19.44	0.00	39.10	0.00	0.00	0.00	0.00	0.00	16.18	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AAAS	5.33	19.71	7.78	33.43	23.96	44.26	0.00	0.00	11.59	3.96	69.71	160.68	32.80	97.06	0.00	162.26	5.52	5.92	76.33	153.89	0.00	24.57	22.32	36.60
AACS	0.00	78.83	27.22	0.00	7.57	0.00	0.00	0.00	0.00	0.00	2.49	0.00	55.95	0.00	0.00	0.00	8.28	5.92	3.72	17.10	0.00	0.00	4.46	4.57
AACSP1	0.00	0.00	0.00	0.00	39.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
